Skerhets och utredningsbranschen,SERVICE
Hardwares,COMPUTER
eleznin vroba,COMPUTER
Havaclk ve Uzay,AEROSPACE
HavayoluHavaclk,AVIATION
Kesehatan dan Kebugaran,HEALTH_CARE
Hospital Penjagaan Kesihatan,HEALTH_CARE
Salute benessere e fitness,HEALTH_CARE
Sundhed velvre og fitness,HEALTH_CARE
Gezondheid wellness en fitness,HEALTH_CARE
Helse velvre og trening,HEALTH_CARE
Kesihatan Kesejahteraan dan Kesihatan Badan,HEALTH_CARE
Sanidad bienestar y ejercicio,HEALTH_CARE
Gesundheit Wellness Fitness,HEALTH_CARE
Zdrowie wellness i fitness,HEALTH_CARE
Gezondheidszorg,HEALTH_CARE
Technologies et services de linformation,SOFTWARE
Enseanza superior,EDUCATION
Ensino superior,EDUCATION
Hjere uddannelse,EDUCATION
Hoger onderwijs,EDUCATION
Istruzione superiore,EDUCATION
Pendidikan Tinggi,EDUCATION
Perguruan Tinggi,EDUCATION
Szkolnictwo wysze,EDUCATION
Vidareutbildningsbranschen,EDUCATION
Hlso friskvrds och fitnessbranschen,HEALTH_CARE
Sykehus og helsevesen,HEALTH_CARE
Hastane ve Salk,HEALTH_CARE
Hospital og sundhedspleje,HEALTH_CARE
Rumah Sakit dan Perawatan Kesehatan,HEALTH_CARE
Krankenhaus Gesundheitsbereich,HEALTH_CARE
Hospitaliti,SERVICE
Hostelera,SERVICE
Hotelaria,SERVICE
Hotelarstwo,SERVICE
Pohostinstv,SERVICE
Horeca en toerisme,SERVICE
Hpitaux et centres de soins,HEALTH_CARE
Nemocnice a zdravotn pe,HEALTH_CARE
Szpitale i opieka zdrowotna,HEALTH_CARE
Strutture ospedaliere e sanit,HEALTH_CARE
Sjukhus och hlsovrdsbranschen,HEALTH_CARE
Hotel und Gaststttengewerbe,HOTEL
Settore alberghiero,HOTEL
Construcii,REAL_ESTATE
Gemi nas,EDUCATION
Htellerie et hbergement,HOTEL
Humanmedizin,HEALTH_CARE
Lidsk zdroje,HUMAN_RESOURCES
Personalwesen,HUMAN_RESOURCES
Recursos humanos,HUMAN_RESOURCES
Ressources humaines,HUMAN_RESOURCES
Resurse umane,HUMAN_RESOURCES
Risorse umane,HUMAN_RESOURCES
Sumber Daya Manusia,HUMAN_RESOURCES
nsan Kaynaklar,HUMAN_RESOURCES
Personalistika a nbor pracovnk,HUMAN_RESOURCES
Kadry i rekrutacja,HUMAN_RESOURCES
Sumber Manusia,HUMAN_RESOURCES
Humanitaire,SERVICE
Hushllstjnstbranschen,WEWEWE
Hyere utdanning,EDUCATION
Arte plastice,ARTS_CRAFTS
Impor dan Ekspor,RETAIL_WHOLESALE
Import dan Eksport,RETAIL_WHOLESALE
Import og eksport,RETAIL_WHOLESALE
Import und Export,RETAIL_WHOLESALE
Importar y exportar,RETAIL_WHOLESALE
thalat ve hracat,RETAIL_WHOLESALE
Import och exportbranschen,RETAIL_WHOLESALE
Importao e exportao,RETAIL_WHOLESALE
Hukuk,LEGAL
Penghasilan Media,MOTION_PICTURE_VIDEO
Individuele en familie services,CONSULTING
Bireysel ve Aile Hizmetleri,CONSULTING
Person og familietjenester,CONSULTING
Servicii individuale i de familie,CONSULTING
Servios individuais e familiares,CONSULTING
Layanan Individu Keluarga,CONSULTING
Perkhidmatan Individu Keluarga,CONSULTING
Individuelle tjenester og familietjenester,CONSULTING
Indstria farmacutica,PHARMACEUTICALS
Automatismes industriels,AUTOMOTIVE
Automazione industriale,AUTOMOTIVE
Industri Automasi,AUTOMOTIVE
Industriell automatisering,AUTOMOTIVE
Industriella automatiseringsbranschen,AUTOMOTIVE
Industrielle Automatisierung,AUTOMOTIVE
Industrile automatisering,AUTOMOTIVE
Otomasi Industri,AUTOMOTIVE
Ingeniera industrial o mecnica,MANUFACTURING
Macchinari industriali,MANUFACTURING
Industriel mekanisering,MANUFACTURING
Industrie composants lectriqueslectroniques,ELECTRONICS
Consultora de estrategia y operaciones,CONSULTING
Prmyslov mechanizace,MANUFACTURING
Informan sluby,SERVICE
Informan technologie a sluby,SOFTWARE
Informasjonstjenester,SERVICE
Sicurezza informatica e delle reti,SOFTWARE
Bilgi Hizmetleri,SERVICE
Informationsdienste,SERVICE
Informationstjenester,SERVICE
Layanan Informasi,SERVICE
Perkhidmatan Maklumat,SERVICE
Servicii de informare,SERVICE
Servizi informativi,SERVICE
Usugi informatyczne,SERVICE
Bilgi Teknolojisi ve Hizmetleri,SOFTWARE
Diplomatischer Dienst,SOFTWARE
IT und Services,SOFTWARE
Informasjonsteknologi og tjenester,SOFTWARE
Informatica e servizi,SOFTWARE
Informatietechnologie en services,SOFTWARE
Informationsteknikbranschen,SOFTWARE
Informationsteknologi og tjenester,SOFTWARE
Technologie i usugi informatyczne,SOFTWARE
Teknologi Maklumat dan Perkhidmatan,SOFTWARE
Layanan dan Teknologi Informasi,SOFTWARE
Tehnologia informaiei i servicii informatice,SOFTWARE
Informationstjnstbranschen,SOFTWARE
Equipo informtico,SOFTWARE
Servizi infrastrutturali,SERVICE
Ingnierie du mcnat,MANUFACTURING
Modal Permulaan Equiti Persendirian,VENTURE_CAPITAL
Sprva a drba budov,SERVICE
Sprva investic,FINANCIAL_SERVICES
Innsamlingfundraising,FINANCIAL_SERVICES
Asigurri,FINANCIAL_SERVICES
Assicurazioni,FINANCIAL_SERVICES
Assurances,FINANCIAL_SERVICES
Asuransi,FINANCIAL_SERVICES
Forsikring,FINANCIAL_SERVICES
Insurans,FINANCIAL_SERVICES
Seguros,FINANCIAL_SERVICES
Sigorta,FINANCIAL_SERVICES
Ubezpieczenia,FINANCIAL_SERVICES
Versicherungswesen,FINANCIAL_SERVICES
Verzekeringen,FINANCIAL_SERVICES
Affari internazionali,FOREIGN_AFFAIRS
Hal Ehwal Antarabangsa,FOREIGN_AFFAIRS
Internationale anliggender,FOREIGN_AFFAIRS
Urusan Internasional,FOREIGN_AFFAIRS
Afaceri internaionale,FOREIGN_AFFAIRS
Asuntos internacionales,FOREIGN_AFFAIRS
Internasjonale relasjoner,FOREIGN_AFFAIRS
Internationella relationsbranschen,FOREIGN_AFFAIRS
Relaes internacionais,FOREIGN_AFFAIRS
Stosunki midzynarodowe,FOREIGN_AFFAIRS
Internationale betrekkingen en diplomatieke dienst,FOREIGN_AFFAIRS
Uluslararas Ticaret ve Gelitirme,RETAIL_WHOLESALE
Comer i dezvoltare internaional,RETAIL_WHOLESALE
Commerce et dveloppement international,RETAIL_WHOLESALE
Commercio internazionale e sviluppo,RETAIL_WHOLESALE
Desarrollo y comercio internacional,RETAIL_WHOLESALE
Internasjonal handel og utvikling,RETAIL_WHOLESALE
International handel og udvikling,RETAIL_WHOLESALE
Internationale handel en ontwikkeling,RETAIL_WHOLESALE
Perdagangan dan Pembangunan Antarabangsa,RETAIL_WHOLESALE
Perdagangan dan Pengembangan Internasional,RETAIL_WHOLESALE
Internationella handels och utvecklingsbranschen,RETAIL_WHOLESALE
Intl Handel Entwicklung,RETAIL_WHOLESALE
Internett,COMPUTER
nternet,COMPUTER
Media internetowe,COMPUTER
Internetbranschen,COMPUTER
Internetov mdia,COMPUTER
Investin bankovnictv,INVESTMENT_BANKING
Investeringsbank,INVESTMENT_BANKING
Banca de inversiones,INVESTMENT_BANKING
Bankowo inwestycyjna,INVESTMENT_BANKING
Investeringsbankwezen,INVESTMENT_BANKING
Perbankan Investasi,INVESTMENT_BANKING
Perbankan Pelaburan,INVESTMENT_BANKING
Bancos de investimento,INVESTMENT_BANKING
Investeringsbanker,INVESTMENT_BANKING
Gestin de inversiones,INVESTMENT_BANKING
Gestione investimenti,INVESTMENT_BANKING
Investeringsstyring,INVESTMENT_BANKING
Management investiii,INVESTMENT_BANKING
Manajemen Investasi,INVESTMENT_BANKING
Pengurusan Pelaburan,INVESTMENT_BANKING
Kapitalforvaltning,INVESTMENT_BANKING
Gesto de investimentos,INVESTMENT_BANKING
Scurit informatique et des rseaux,SOFTWARE
ITbranschen,SOFTWARE
Gazetecilik,NEWSPAPER_PUBLISHERS
Judicial,LEGAL
Institutions judiciaires,LEGAL
Domstolsbranschen,LEGAL
Giudiziario,LEGAL
Rechterlijke macht,LEGAL
Rettsvesen,LEGAL
Soudnictv,LEGAL
Justiz,LEGAL
Peradilan,LEGAL
Kapitalfrvaltningsbranschen,VENTURE_CAPITAL
Kapitalmrkte,VENTURE_CAPITAL
Kapitlov trhy,VENTURE_CAPITAL
Servicii dotri,SERVICE
Konsumenttjnstbranschen,CONSUMER_PRODUCTS
Konsumgter,CONSUMER_PRODUCTS
Kosmetikbranschen,COSMETICS
Kr Amac Gtmeyen Organizasyon Ynetimi,FOOD_BEVERAGE_TOBACCO
Ktphanecilik,MOTION_PICTURE_VIDEO
laboration de programmes,SERVICE
Cumplimiento de la ley,LEGAL
Penegakan Hukum,LEGAL
Penguatkuasaan Undangundang,LEGAL
Wetshandhaving,LEGAL
Studio legale,LEGAL
Juridikbranschen,LEGAL
Lovpraksis,LEGAL
Praktik Hukum,LEGAL
Avocats,LEGAL
Belajar Online,EDUCATION
Ledelsesrdgivning,LEGAL
Rechtswesen,LEGAL
Hukuki Yaptrm,LEGAL
Amalan Guaman,LEGAL
Praktyka prawna,LEGAL
Advocatuur,LEGAL
Juridische services,LEGAL
Juridisk tjenesteyting,LEGAL
Juridiske tjenester,LEGAL
Juristische Dienstleistungen,LEGAL
Layanan Hukum,LEGAL
Perkhidmatan Perundangan,LEGAL
Services juridiques,LEGAL
Servicii juridice,LEGAL
Servicios jurdicos,LEGAL
Servizi legali,LEGAL
Usugi prawnicze,LEGAL
Yasal Hizmetler,LEGAL
Juridiska tjnstebranschen,LEGAL
Wetgeving,LEGAL
Legislativn ady,LEGAL
Lagstiftande myndighetsbranschen,LEGAL
Lovgivende institution,LEGAL
Birou legislativ,LEGAL
Kantor Legislatif,LEGAL
Oficina legislativa,LEGAL
Ufficio legislativo,LEGAL
Yasama Meclisi,LEGAL
Czas wolny podre i turystyka,ENTERTAINMENT_LEISURE
Timp liber cltorii i turism,ENTERTAINMENT_LEISURE
Fritidsanlegg og tjenester,ENTERTAINMENT_LEISURE
Fritidsaktivitetsbranschen,ENTERTAINMENT_LEISURE
Dinlence Seyahat ve Turizm,ENTERTAINMENT_LEISURE
Fritid reise og turisme,ENTERTAINMENT_LEISURE
Fritid rejser og turisme,ENTERTAINMENT_LEISURE
Lazer viagens e turismo,ENTERTAINMENT_LEISURE
Loisirs voyages et tourisme,ENTERTAINMENT_LEISURE
Ocio viajes y turismo,ENTERTAINMENT_LEISURE
Tempo libero viaggi e turismo,ENTERTAINMENT_LEISURE
Fritids rese och turismbranschen,ENTERTAINMENT_LEISURE
Letectv a kosmonautika,AEROSPACE
Mandat lgislatif,LEGAL
Uluslararas likiler,FOREIGN_AFFAIRS
Bibliothekswesen,SERVICE
Knihovnictv,SERVICE
Bibliotecas,SERVICE
Biblioteche,SERVICE
Biblioteci,SERVICE
Biblioteker,SERVICE
Bibliotheken,SERVICE
Bibliothques,SERVICE
Bibliotek,SERVICE
Biblioteki,SERVICE
Perpustakaan,SERVICE
levage,SERVICE
Linee aereeAviazione,AVIATION
Ganadera,AGRICULTURE
Penternakan,AGRICULTURE
Peternakan,AGRICULTURE
Viehwirtschaft,AGRICULTURE
Boskapsbranschen,AGRICULTURE
Lkask praxe,LEGAL
Lkask pstroje,LEGAL
lkOrta renim,APPAREL_ACCESSORIES
Logistika a dodavatelsk etzce,CARGO_HANDLING
Logistique et chane dapprovisionnement,CARGO_HANDLING
Logistik og forsyningskde,CARGO_HANDLING
Logistyka i acuch dostaw,CARGO_HANDLING
Logistic i lan de aprovizionare,CARGO_HANDLING
Logistiek en supply chain,CARGO_HANDLING
Logistik dan Rantai Suplai,CARGO_HANDLING
Logistik dan Rantaian Pembekalan,CARGO_HANDLING
Logistik und Beschaffung,CARGO_HANDLING
Logistikk og leveringskjede,CARGO_HANDLING
Logstica e cadeia de suprimentos,CARGO_HANDLING
Logstica y cadena de suministro,CARGO_HANDLING
Lojistik ve Tedarik Zinciri,CARGO_HANDLING
Logistikkveitransportjernbane,CARGO_HANDLING
Logistikbranschen,CARGO_HANDLING
Articles de luxe et bijouterie,CONSUMER_PRODUCTS
Luxeartikelen en juwelen,CONSUMER_PRODUCTS
Produtos de luxo e joias,CONSUMER_PRODUCTS
Lks rnler ve Mcevherat,CONSUMER_PRODUCTS
Artculos de lujo y joyas,CONSUMER_PRODUCTS
Beni di lusso e gioielli,CONSUMER_PRODUCTS
Luksusvarer og smykker,CONSUMER_PRODUCTS
Barang Mewah Perhiasan,CONSUMER_PRODUCTS
Barangan Mewah Barang Kemas,CONSUMER_PRODUCTS
Luxusgter Schmuck,CONSUMER_PRODUCTS
Luxusn zbo a klenotnictv,CONSUMER_PRODUCTS
Lyxvaru och smyckesbranschen,CONSUMER_PRODUCTS
Makine,MANUFACTURING
Strojn prmysl,MANUFACTURING
Maquinaria,MANUFACTURING
Maskineri,MANUFACTURING
Maskin och industriteknikbranschen,MANUFACTURING
Maskineribranschen,MANUFACTURING
Maskiner,MANUFACTURING
Maszyny,MANUFACTURING
Machines et quipements,MANUFACTURING
Permesinan,MANUFACTURING
Magistratur,LEGAL
Huvudmyndighetsbranschen,LEGAL
Doradztwo w zakresie zarzdzania,CONSULTING
Konsultan Manajemen,CONSULTING
Conseil en management,CONSULTING
Consulenza manageriale,CONSULTING
Consultan management,CONSULTING
Consultoria de gerenciamento,CONSULTING
Fretagsrdgivningsbranschen,CONSULTING
Jururunding Pengurusan,CONSULTING
Ledelseskonsultering,CONSULTING
ManagementBeratung,CONSULTING
Gestione in ambito formativo,EDUCATION
Management organizaii nonprofit,CONSULTING
Zarzdzanie edukacj,EDUCATION
Gestin de organizaciones sin nimo de lucro,CONSULTING
Gestione organizzazioni senza scopo di lucro,CONSULTING
Zarzdzanie inwestycjami,INVESTMENT_BANKING
Produkcja urzdze elektrycznych i elektronicznych,ELECTRONICS
Produkcja tworzyw sztucznych,MANUFACTURING
Producie electriceelectronice,ELECTRONICS
Producie media,MANUFACTURING
Pengilangan Barangan ElektrikElektronik,ENERGY
Manufaktur ListrikElektronik,ELECTRONICS
Maquinrio,MANUFACTURING
Denizcilik,DEFENSE
Maritim,DEFENSE
Marittimo,DEFENSE
Maritim virksomhet,DEFENSE
Transporte martimo,TRANSPORTATION
Markedsfring og annonsering,ADVERTISING
Markedsanalyse,CONSULTING
Piyasa Aratrmas,CONSULTING
Badania rynku,CONSULTING
Cercetare de pia,CONSULTING
Investigacin de mercado,CONSULTING
Markedsunderskelser,CONSULTING
Marktforschung,CONSULTING
Marktonderzoek,CONSULTING
Ricerche di mercato,CONSULTING
Riset Pasar,CONSULTING
Penyelidikan Pasaran,CONSULTING
Pesquisa de mercado,CONSULTING
Marketing e pubblicit,ADVERTISING
Marketing e publicidade,ADVERTISING
Marketing en reclame,ADVERTISING
Marketing et publicit,ADVERTISING
Marketing i publicitate,ADVERTISING
Marketing og annoncering,ADVERTISING
Marketing und Werbung,ADVERTISING
Marketing y publicidad,ADVERTISING
Pemasaran dan Iklan,ADVERTISING
Pemasaran dan Periklanan,ADVERTISING
Pazarlama ve Reklamclk,ADVERTISING
Marknadsfrings och reklambranschen,ADVERTISING
Marknadsunderskningsbranschen,ADVERTISING
Maskiningenir eller produksjonsingenir,MANUFACTURING
rodki masowego przekazu,TELECOMMUNICATIONS
Materiale de construcii,MANUFACTURING
Mbelbranschen,CONSUMER_PRODUCTS
mbrcminte i mod,APPAREL_ACCESSORIES
Mdia de difuso,TELECOMMUNICATIONS
Secteur mdicopsychologique,HEALTH_CARE
Medios de comunicacin en lnea,TELECOMMUNICATIONS
Medios de difusin,TELECOMMUNICATIONS
Maschinenbau,MANUFACTURING
Engenharia mecnica ou industrial,MANUFACTURING
Inynieria mechaniczna lub przemysowa,MANUFACTURING
Mekanik veya Endstriyel Mhendislik,MANUFACTURING
Ingegneria meccanica o industriale,MANUFACTURING
Inginerie mecanic sau industrial,MANUFACTURING
Kejuruteraan Mekanik atau Industri,MANUFACTURING
Maschinenbau Betriebstechnik,MANUFACTURING
Mechanische of industrile techniek,MANUFACTURING
Teknik Mesin atau Industri,MANUFACTURING
Ingnierie mcanique ou industrielle,MANUFACTURING
Mdias en ligne,TELECOMMUNICATIONS
Media Secara Online,TELECOMMUNICATIONS
Medienproduktion,MOTION_PICTURE_VIDEO
Medieproduksjon,MOTION_PICTURE_VIDEO
Medieproduktion,MOTION_PICTURE_VIDEO
Medieproduktionsbranschen,MOTION_PICTURE_VIDEO
Production audiovisuelle,MOTION_PICTURE_VIDEO
Produksi Media,MOTION_PICTURE_VIDEO
Medya retimi,TELECOMMUNICATIONS
Medya Yayncl,TELECOMMUNICATIONS
Conflictbemiddeling,LEGAL
Medizintechnik,HEALTH_CARE
Atendimento mdico e hospitalar,HEALTH_CARE
Dispositivos mdicos,HEALTH_CARE
Dispozitive medicale,HEALTH_CARE
Medicinska utrustningsbranschen,HEALTH_CARE
Medisinske innretninger,HEALTH_CARE
Medicinsk udstyr,HEALTH_CARE
Medische apparatuur,HEALTH_CARE
Peralatan Medis,HEALTH_CARE
Peralatan Perubatan,HEALTH_CARE
Sprzt medyczny,HEALTH_CARE
Strumenti medicali,HEALTH_CARE
Medicin alternativ,HEALTH_CARE
Medicina prctica,HEALTH_CARE
Medicinsk praksis,HEALTH_CARE
Praktek Medis,HEALTH_CARE
Praktyka medyczna,HEALTH_CARE
Pengamal Perubatan,HEALTH_CARE
Atendimento mdico psiquitrico,HEALTH_CARE
Servicios mdicos,HEALTH_CARE
Geneeskunde,HEALTH_CARE
Medicin,HEALTH_CARE
Medicina,HEALTH_CARE
Legemidler,PHARMACEUTICALS
Mediln produkce,MOTION_PICTURE_VIDEO
Mejeribranschen,FOOD_BEVERAGE_TOBACCO
Mekanisk eller industriel ingenirvirksomhed,MANUFACTURING
Geestelijke gezondheidszorg,HEALTH_CARE
Psykisk helse,HEALTH_CARE
Mental sundhedspleje,HEALTH_CARE
Penjagaan Kesihatan Mental,HEALTH_CARE
Perawatan Kesehatan Jiwa,HEALTH_CARE
Servizi di salute mentale,HEALTH_CARE
Mentalvrdsbranschen,HEALTH_CARE
Metallproduksjon og gruvedrift,ENERGY
Mezinrodn vztahy,FOREIGN_AFFAIRS
Mezinrodn obchod a rozvoj,RETAIL_WHOLESALE
naat Mhendislii,SERVICE
Milieuservices,ENTERTAINMENT_LEISURE
Ketenteraan,DEFENSE
Militar,DEFENSE
Militare,DEFENSE
Militer,DEFENSE
Aprare militar i explorarea spaiului cosmic,DEFENSE
Militr virksomhet,DEFENSE
Askerlik,DEFENSE
Militrbranschen,DEFENSE
Miljtjnstbranschen,DEFENSE
Jentera,MANUFACTURING
Minerao e metais,ENERGY
Mijnbouw en metalen,ENERGY
Minera y metalurgia,ENERGY
Madencilik ve Metaller,ENERGY
Minerario e metalli,ENERGY
Minerit i metale,ENERGY
Mines et mtaux,ENERGY
Perlombongan dan Logam,ENERGY
Gruvdrifts och metallbranschen,ENERGY
Bergbau Metallverarbeitung,ENERGY
Pertambangan Logam,ENERGY
Pengemarkeder,FINANCIAL_SERVICES
Kino und Film,MOTION_PICTURE_VIDEO
Sinema ve Film,MOTION_PICTURE_VIDEO
Wayang Gambar dan Filem,MOTION_PICTURE_VIDEO
Filmov prmysl,MOTION_PICTURE_VIDEO
Gambar Bergerak dan Film,MOTION_PICTURE_VIDEO
mter Behrden,SPORTS
Produccin multimedia,MOTION_PICTURE_VIDEO
Muses et institutions culturelles,ENTERTAINMENT_LEISURE
Museen und Kultursttten,ENTERTAINMENT_LEISURE
Musea en instellingen,ENTERTAINMENT_LEISURE
Museer og institusjoner,ENTERTAINMENT_LEISURE
Museer og institutioner,ENTERTAINMENT_LEISURE
Musei e istituzioni,ENTERTAINMENT_LEISURE
Museos e instituciones,ENTERTAINMENT_LEISURE
Museum dan Institusi,ENTERTAINMENT_LEISURE
Museus e instituies,ENTERTAINMENT_LEISURE
Muzea a instituce,ENTERTAINMENT_LEISURE
Muzee i instituii,ENTERTAINMENT_LEISURE
Musei och institutionsbranschen,ENTERTAINMENT_LEISURE
Musica,MUSIC
Musik,MUSIC
Musikk,MUSIC
Musique,MUSIC
Muzic,MUSIC
Muziek,MUSIC
Muzik,MUSIC
Muzyka,MUSIC
Hudebn prmysl,MUSIC
Tketim Maddeleri,CONSUMER_PRODUCTS
Yksek renim,SERVICE
Mzeler ve Kurumlar,EDUCATION
naat,CONSUMER_PRODUCTS
naat Malzemeleri,CONSUMER_PRODUCTS
NakliyeKamyonculukDemiryolu,TRANSPORTATION
Nanotechnologies,TECHNOLOGY
Nanotecnologie,TECHNOLOGY
Nanotechnologia,TECHNOLOGY
Nanotechnologie,TECHNOLOGY
Nanotecnologia,TECHNOLOGY
Nanotehnologie,TECHNOLOGY
Nanoteknologi,TECHNOLOGY
Nanoteknoloji,TECHNOLOGY
Nanoteknikbranschen,TECHNOLOGY
Nanotecnologa,TECHNOLOGY
Construo naval,CONSTRUCTION
Nboensk instituce,EDUCATION
Nbytek,CONSUMER_PRODUCTS
Interconexin en red,COMPUTER
Datanettverk,COMPUTER
Redes,COMPUTER
Dagstidningsbranschen,NEWSPAPER_PUBLISHERS
Aviser,NEWSPAPER_PUBLISHERS
Jornais,NEWSPAPER_PUBLISHERS
Kranten,NEWSPAPER_PUBLISHERS
Quotidiani,NEWSPAPER_PUBLISHERS
Surat Khabar,NEWSPAPER_PUBLISHERS
Ziare,NEWSPAPER_PUBLISHERS
Noviny a tisk,NEWSPAPER_PUBLISHERS
Hayr leri,HOTEL
Ideella organisationsfrvaltningsbranschen,CONSULTING
Gestion des associations et fondations,CONSULTING
Ideell organisasjonsledelse,CONSULTING
Manajemen Organisasi Nirlaba,CONSULTING
Administration af nonprofitorganisationer,CONSULTING
Nonprofit organisatie management,CONSULTING
Pengurusan Organisasi Kebajikan,CONSULTING
Management von NonprofitOrganisationen,CONSULTING
Avis,NEWSPAPER_PUBLISHERS
nvmnt primarsecundar,EDUCATION
Obansk a sociln organizace,SERVICE
Obsuga obiektw,SERVICE
Odborn kolen a instrukte,ENERGY
Nieruchomoci,REAL_ESTATE
Kontorsmaterials och utrustningsbranschen,RETAIL_WHOLESALE
Olje och energibranschen,ENERGY
Petrolio ed energia,ENERGY
Ropa naftowa i energia,ENERGY
Olie en energie,ENERGY
Olie og energi,ENERGY
Olje og energi,ENERGY
Petrleo e energia,ENERGY
Petrleo y energa,ENERGY
Petrol ve Enerji,ENERGY
Minyak Energi,ENERGY
Minyak Tenaga,ENERGY
Pe o duevn zdrav,SPORTS
Vno a destilty,ENTERTAINMENT_LEISURE
OnlineMedien,TELECOMMUNICATIONS
Opplring og coaching,EDUCATION
Organizacin poltica,SERVICE
Organizao cvica e social,CONSULTING
Gesto de organizao sem fins lucrativos,CONSULTING
Organizowanie imprez,SERVICE
Organizri evenimente,SERVICE
Sumber LuarSumber Luar Pantai,SERVICE
Outsourcing och offshoringbranschen,SERVICE
Paket und Frachttransport,CARGO_HANDLING
Pakketgoederenbezorging,CARGO_HANDLING
Ambalaj ve Kaplar,CARGO_HANDLING
Ambalaje i recipiente,CARGO_HANDLING
Embalagens e recipientes,CARGO_HANDLING
Embalaje y contenedores,CARGO_HANDLING
Emballages et conteneurs,CARGO_HANDLING
Imballaggi e contenitori,CARGO_HANDLING
Kemasan dan Wadah,CARGO_HANDLING
Opakowania i pojemniki,CARGO_HANDLING
Pakning og beholdere,CARGO_HANDLING
Verpakkingen en containers,CARGO_HANDLING
Pakowanie i dostawa towarw,CARGO_HANDLING
Verpackungsindustrie,CARGO_HANDLING
Emballasje,CARGO_HANDLING
Carta e prodotti forestali,CONSUMER_PRODUCTS
Papel e produtos florestais,CONSUMER_PRODUCTS
Pappers och skogsproduktsbranschen,CONSUMER_PRODUCTS
Productos de papel y forestales,CONSUMER_PRODUCTS
Papir og skovprodukter,CONSUMER_PRODUCTS
Papier i produkty gospodarki lenej,CONSUMER_PRODUCTS
Papier en bosproducten,CONSUMER_PRODUCTS
Kertas Produk Hutan,CONSUMER_PRODUCTS
Papier Forstprodukte,CONSUMER_PRODUCTS
Entrega de encomendas e fretes,CARGO_HANDLING
Recreatieparken en services,SERVICE
Atividades parlamentares,SERVICE
Partihandelsbranschen,RETAIL_WHOLESALE
Pesca,FOOD_BEVERAGE_TOBACCO
Peklady a lokalizace,SERVICE
PengalihdayaanOffshoring,SERVICE
PengangkutanTrakKeretapi,TRANSPORTATION
Konaklama Hizmetleri,PENSION_FUNDS
Artes interpretativas,ARTS_CRAFTS
Arti dello spettacolo,ARTS_CRAFTS
Arts vivants,ARTS_CRAFTS
Sahne Sanatlar,ARTS_CRAFTS
Scenekunst,ARTS_CRAFTS
Seni Pertunjukan,ARTS_CRAFTS
Sztuka widowiskowa,ARTS_CRAFTS
Darstellende Knste,ARTS_CRAFTS
Peridicos,NEWSPAPER_PUBLISHERS
Osobn a rodinn sluby,CONSULTING
Personalbranschen,HUMAN_RESOURCES
Personal och rekryteringsbranschen,HUMAN_RESOURCES
Farmaseutikal,PHARMACEUTICALS
Industria farmaceutica,PHARMACEUTICALS
Industria farmacutica,PHARMACEUTICALS
Industrie pharmaceutique,PHARMACEUTICALS
Farmaceutick prmysl,PHARMACEUTICALS
Medicinalvarer,PHARMACEUTICALS
Farmaceutica,PHARMACEUTICALS
Farmacii,PHARMACEUTICALS
Farmacja,PHARMACEUTICALS
Farmasi,PHARMACEUTICALS
Pharmazie,PHARMACEUTICALS
Filantrofi,SERVICE
Filantropa,SERVICE
Filantropia,SERVICE
Filantropie,SERVICE
Fotografi,ARTS_CRAFTS
Fotografa,ARTS_CRAFTS
Fotografick innost,ARTS_CRAFTS
Fotografia,ARTS_CRAFTS
Photographie,ARTS_CRAFTS
Fotografibranschen,ARTS_CRAFTS
Fotografie,ARTS_CRAFTS
Organizao poltica,SERVICE
Plastica,MANUFACTURING
Plastik,MANUFACTURING
Plastbranschen,MANUFACTURING
Kunststoffe,MANUFACTURING
Materiale plastice,MANUFACTURING
Plastiques,MANUFACTURING
Plasty,MANUFACTURING
Legepraksis,SPORTS
Pojiovnictv,AGRICULTURE
Politi,SERVICE
Polizeidienst,SERVICE
Policegendarmerie,SERVICE
Poliie,SERVICE
Polisbranschen,SERVICE
Mandat politique,SERVICE
Organizzazione politica,SERVICE
Politick organizace,SERVICE
Politieke organisatie,SERVICE
Politisk organisasjon,SERVICE
Politisk organisation,SERVICE
Politiska organiseringsbranschen,SERVICE
Organisasi Politik,SERVICE
Organizacje polityczne,SERVICE
Politische Organisationen,SERVICE
Parti politique,SERVICE
Politik rgt,SERVICE
Politikbranschen,SERVICE
Gestion de portefeuilles,SECURITIES_COMMODITY_EXCHANGES
Potaov hry,COMPUTER
Poteby a zazen pro podnikn,COMPUTER
Potravinsk vroba,FOOD_BEVERAGE_TOBACCO
Alimentacin y bebidas,FOOD_BEVERAGE_TOBACCO
Pprzewodniki,MANUFACTURING
PR,CONSULTING
PR og kommunikasjon,CONSULTING
PR og kommunikation,CONSULTING
Gabinete presidencial,CONSUMER_PRODUCTS
Prasa,NEWSPAPER_PUBLISHERS
Presse,NEWSPAPER_PUBLISHERS
Tryk,SERVICE
Polityka pastwa,SERVICE
Formation primairesecondaire,EDUCATION
Istruzione primaria e secondaria,EDUCATION
BasisonderwijsMiddelbaar onderwijs,EDUCATION
Beni primari,CONSUMER_PRODUCTS
Media Cetak,NEWSPAPER_PUBLISHERS
Stampa,NEWSPAPER_PUBLISHERS
Trykkeri,NEWSPAPER_PUBLISHERS
Impresso,NEWSPAPER_PUBLISHERS
Imprenta,NEWSPAPER_PUBLISHERS
Pencetakan,NEWSPAPER_PUBLISHERS
Percetakan,NEWSPAPER_PUBLISHERS
